Unnamed: 0,artist,album_name,rating,album_link,genre
,['Babatunde Olatunji'],['Drums of Passion'],['8.2'],['https://pitchfork.com/reviews/albums/13258-drums-of-passion/'],['global']
,['Major Lazer'],"[""Guns Don't Kill People-- Lazers Do""]",['8.1'],['https://pitchfork.com/reviews/albums/13236-guns-dont-kill-people-lazers-do/'],['global']
,['NOMO'],['Invisible Cities'],['8.0'],['https://pitchfork.com/reviews/albums/12945-invisible-cities/'],['global']
,['Extra Golden'],['Thank You Very Quickly'],['7.5'],['https://pitchfork.com/reviews/albums/12763-thank-you-very-quickly/'],['global']
,['Rokia Traoré'],['Tchamantché'],['8.4'],['https://pitchfork.com/reviews/albums/12708-tchamantche/'],['global']
,['Peter Tosh'],['The Ultimate Peter Tosh Experience'],['4.0'],['https://pitchfork.com/reviews/albums/12695-the-ultimate-peter-tosh-experience/'],['global']
,['Terakaft'],['Akh Issudar'],['7.8'],['https://pitchfork.com/reviews/albums/12525-akh-issudar/'],['global']
,['Amadou & Mariam'],['Welcome to Mali'],['8.4'],['https://pitchfork.com/reviews/albums/12435-welcome-to-mali/'],['global']
,['Luciano'],['Fabric 41'],['8.5'],['https://pitchfork.com/reviews/albums/12181-fabric-41/'],['global']
,['Kasai Allstars'],"['In the 7th Moon, the Chief Turned Into a Swimming Fish and Ate the Head of His Enemy by Magic']",['7.8'],['https://pitchfork.com/reviews/albums/12139-in-the-7th-moon-the-chief-turned-into-a-swimming-fish-and-ate-the-head-of-his-enemy-by-magic/'],['global']
,['Ragga Twins'],['Ragga Twins Step Out'],['8.5'],['https://pitchfork.com/reviews/albums/12033-ragga-twins-step-out/'],['global']
,['Manu Chao'],['Estacion Proxima: Esperanza / Radio Bemba Sound System'],['7.7'],['https://pitchfork.com/reviews/albums/12036-estacion-proxima-esperanza-radio-bemba-sound-system/'],['global']
,['NOMO'],['Ghost Rock'],['8.3'],['https://pitchfork.com/reviews/albums/11966-ghost-rock/'],['global']
,['Orchestra Baobab'],['Made in Dakar'],['7.6'],['https://pitchfork.com/reviews/albums/11595-made-in-dakar/'],['global']
,['Yoav'],['Charmed & Strange'],['2.2'],['https://pitchfork.com/reviews/albums/11559-charmed-strange/'],['global']
,['Etran Finatawa'],['Desert Crossroads'],['8.0'],['https://pitchfork.com/reviews/albums/11507-desert-crossroads/'],['global']
,['Toumast'],['Ishumar'],['8.0'],['https://pitchfork.com/reviews/albums/11354-ishumar/'],['global']
,['Toumani Diabaté'],['The Mande Variations'],['8.3'],['https://pitchfork.com/reviews/albums/11281-the-mande-variations/'],['global']
,"['Earth, Roots and Water']",['Innocent Youths'],['7.3'],['https://pitchfork.com/reviews/albums/11310-innocent-youths/'],['global']
,['Kutiman'],['Kutiman'],['8.2'],['https://pitchfork.com/reviews/albums/11159-kutiman/'],['global']
,['Konono N°1'],['Live at Couleur Cafe'],['8.1'],['https://pitchfork.com/reviews/albums/11101-live-at-couleur-cafe/'],['global']
,['Tabu Ley Rochereau'],['The Voice of Lightness / Bel Canto'],['8.3'],['https://pitchfork.com/reviews/albums/11650-the-voice-of-lightness-bel-canto/'],['global']
,['Bob Marley & the Wailers'],['Exodus: 30th Anniversary Edition'],['8.4'],['https://pitchfork.com/reviews/albums/10969-exodus-30th-anniversary-edition/'],['global']
,['Bembeya Jazz National'],['The Syliphone Years'],['7.6'],['https://pitchfork.com/reviews/albums/10767-the-syliphone-years/'],['global']
,['Os Mutantes'],"['Mutantes ao Vivo: Barbican Theatre, Londres 2006']",['7.4'],['https://pitchfork.com/reviews/albums/10905-mutantes-ao-vivo-barbican-theatre-londres-2006/'],['global']
,['Extra Golden'],['Hera Ma Nono'],['7.4'],['https://pitchfork.com/reviews/albums/10808-hera-ma-nono/'],['global']
,['Culture'],['Two Sevens Clash: The 30th Anniversary Edition'],['9.0'],['https://pitchfork.com/reviews/albums/10716-two-sevens-clash-the-30th-anniversary-edition/'],['global']
,['Zap Mama'],['Supermoon'],['7.7'],['https://pitchfork.com/reviews/albums/10611-supermoon/'],['global']
,['The Budos Band'],['The Budos Band II'],['7.6'],['https://pitchfork.com/reviews/albums/10593-the-budos-band-ii/'],['global']
,['Manu Chao'],['La Radiolina'],['7.5'],['https://pitchfork.com/reviews/albums/10608-la-radiolina/'],['global']
,['Mavado'],['Gangsta for Life: The Symphony of David Brooks'],['6.3'],['https://pitchfork.com/reviews/albums/10552-gangsta-for-life-the-symphony-of-david-brooks/'],['global']
,['M.I.A.'],['Kala'],['8.9'],['https://pitchfork.com/reviews/albums/10564-kala/'],['global']
,['Keren Ann'],['Keren Ann'],['6.4'],['https://pitchfork.com/reviews/albums/10501-keren-ann/'],['global']
,['Balkan Beat Box'],['Nu-Med'],['7.4'],['https://pitchfork.com/reviews/albums/10421-nu-med/'],['global']
,['King Kong'],['Buncha Beans'],['4.8'],['https://pitchfork.com/reviews/albums/10303-buncha-beans/'],['global']
,['Jai-Alai Savant'],['Flight of the Bass Delegate'],['6.5'],['https://pitchfork.com/reviews/albums/10237-flight-of-the-bass-delegate/'],['global']
,['Arve Henriksen'],['Strjon'],['7.8'],['https://pitchfork.com/reviews/albums/10212-strjon/'],['global']
,['David Torn'],['Prezens'],['7.2'],['https://pitchfork.com/reviews/albums/10192-prezens/'],['global']
,['Yellowman'],['Most Wanted'],['6.4'],['https://pitchfork.com/reviews/albums/10075-most-wanted/'],['global']
,['Tinariwen'],['Aman Iman: Water Is Life'],['8.1'],['https://pitchfork.com/reviews/albums/10055-aman-iman-water-is-life/'],['global']
,['Vieux Farka Touré'],['Vieux Farka Touré'],['7.5'],['https://pitchfork.com/reviews/albums/10035-vieux-farka-toure/'],['global']
,['Elephant Man'],['Monsters of Dancehall: The Energy God'],['6.8'],['https://pitchfork.com/reviews/albums/9923-monsters-of-dancehall-the-energy-god/'],['global']
,['Thomas Mapfumo and the Blacks Unlimited'],['Rise Up'],['8.0'],['https://pitchfork.com/reviews/albums/9802-rise-up/'],['global']
,['Rachid Taha'],['Diwan 2'],['7.2'],['https://pitchfork.com/reviews/albums/9763-diwan-2/'],['global']
,['Yabby You'],['Deliver Me From My Enemies'],['7.8'],['https://pitchfork.com/reviews/albums/9750-deliver-me-from-my-enemies/'],['global']
,['Matisyahu'],['No Place to Be'],['4.1'],['https://pitchfork.com/reviews/albums/9747-no-place-to-be/'],['global']
,['Jackie Mittoo'],['Wishbone'],['8.0'],['https://pitchfork.com/reviews/albums/9716-wishbone/'],['global']
,['Easy Star All-Stars'],['Radiodread'],['7.0'],['https://pitchfork.com/reviews/albums/9417-radiodread/'],['global']
,['Ali Farka Touré'],['Savane'],['8.1'],['https://pitchfork.com/reviews/albums/9270-savane/'],['global']
,['Gigi'],['Gold & Wax'],['7.6'],['https://pitchfork.com/reviews/albums/9210-gold-wax/'],['global']
,['Susumu Yokota'],['Wonder Waltz'],['5.5'],['https://pitchfork.com/reviews/albums/9112-wonder-waltz/'],['global']
,['Extra Golden'],['Ok-Oyot System'],['7.1'],['https://pitchfork.com/reviews/albums/9102-ok-oyot-system/'],['global']
,['NOMO'],['New Tones'],['8.4'],['https://pitchfork.com/reviews/albums/9064-new-tones/'],['global']
,['Tom Zé'],['Estudando o Pagode: Na Opereta Segregamulher e Amor'],['7.9'],['https://pitchfork.com/reviews/albums/8951-estudando-o-pagode-na-opereta-segregamulher-e-amor/'],['global']
,['Cluster'],['Cluster & Eno / After the Heat / Begegnungen / Begegnungen II'],['8.7'],['https://pitchfork.com/reviews/albums/11733-cluster-eno-after-the-heat-begegnungen-begegnungen-ii/'],['global']
,['Carl Craig'],['Fabric 25 / Fabric 26'],['7.2'],['https://pitchfork.com/reviews/albums/11705-fabric-25-fabric-26/'],['global']
,['Matisyahu'],['Youth'],['4.9'],['https://pitchfork.com/reviews/albums/5661-youth/'],['global']
